x,y,z,xe,ye,ze
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.15398,-0.1122,0.12,0.014152,0.04755,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.15398,-0.1122,0.12,0.014152,0.04755,0.0
0.16673,-0.070675,0.12,0.0087989,0.030589,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.15398,-0.1122,0.12,0.014152,0.04755,0.0
0.16673,-0.070675,0.12,0.0087989,0.030589,0.0
0.17278,-0.0407,0.12,0.006443,0.012895,0.0
0.15398,-0.1122,0.12,0.014152,0.04755,0.0
0.16673,-0.070675,0.12,0.0087989,0.030589,0.0
0.17278,-0.0407,0.12,0.006443,0.012895,0.0
0.17397,-0.033733,0.12,0.0070985,0.01207,0.0
0.16673,-0.070675,0.12,0.0087989,0.030589,0.0
0.17278,-0.0407,0.12,0.006443,0.012895,0.0
0.17397,-0.033733,0.12,0.0070985,0.01207,0.0
0.17708,-0.025392,0.12,0.0049054,0.0067986,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.17864,-0.018608,0.12,-0.012538,-0.0095128,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.1538,-0.036025,0.12,-0.032548,0.029978,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.1538,-0.036025,0.12,-0.032548,0.029978,0.0
0.12603,-0.010725,0.12,-0.018795,0.022014,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.1538,-0.036025,0.12,-0.032548,0.029978,0.0
0.12603,-0.010725,0.12,-0.018795,0.022014,0.0
0.10852,0.011,0.12,-0.0082971,0.0089569,0.0
0.1538,-0.036025,0.12,-0.032548,0.029978,0.0
0.12603,-0.010725,0.12,-0.018795,0.022014,0.0
0.10852,0.011,0.12,-0.0082971,0.0089569,0.0
0.10293,0.0165,0.12,-0.0062109,0.007791,0.0
0.12603,-0.010725,0.12,-0.018795,0.022014,0.0
0.10852,0.011,0.12,-0.0082971,0.0089569,0.0
0.10293,0.0165,0.12,-0.0062109,0.007791,0.0
0.10018,0.017967,0.12,-0.0052136,0.0084913,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.096417,0.023192,0.12,0.0091428,-0.03686,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.096417,0.023192,0.12,0.0091428,-0.03686,0.0
0.10302,-0.0083417,0.12,0.0087182,-0.026473,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.096417,0.023192,0.12,0.0091428,-0.03686,0.0
0.10302,-0.0083417,0.12,0.0087182,-0.026473,0.0
0.10806,-0.029425,0.12,0.0067642,-0.015963,0.0
0.096417,0.023192,0.12,0.0091428,-0.03686,0.0
0.10302,-0.0083417,0.12,0.0087182,-0.026473,0.0
0.10806,-0.029425,0.12,0.0067642,-0.015963,0.0
0.11319,-0.0418,0.12,0.0031747,-0.0088748,0.0
0.10302,-0.0083417,0.12,0.0087182,-0.026473,0.0
0.10806,-0.029425,0.12,0.0067642,-0.015963,0.0
0.11319,-0.0418,0.12,0.0031747,-0.0088748,0.0
0.11457,-0.041525,0.12,0.0025716,-0.011793,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.11823,-0.0506,0.12,-0.021783,0.024249,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.080008,-0.0017417,0.12,0.0014642,0.037611,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.080008,-0.0017417,0.12,0.0014642,0.037611,0.0
0.0779,0.030067,0.12,0.0068135,0.022108,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.080008,-0.0017417,0.12,0.0014642,0.037611,0.0
0.0779,0.030067,0.12,0.0068135,0.022108,0.0
0.081567,0.04565,0.12,0.0047673,0.014678,0.0
0.080008,-0.0017417,0.12,0.0014642,0.037611,0.0
0.0779,0.030067,0.12,0.0068135,0.022108,0.0
0.081567,0.04565,0.12,0.0047673,0.014678,0.0
0.08285,0.0528,0.12,0.0042941,0.011604,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.086242,0.06325,0.12,0.033391,-0.077426,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.15408,-0.094967,0.12,-0.041888,0.05816,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.15408,-0.094967,0.12,-0.041888,0.05816,0.0
0.11402,-0.042808,0.12,-0.021393,0.036014,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.15408,-0.094967,0.12,-0.041888,0.05816,0.0
0.11402,-0.042808,0.12,-0.021393,0.036014,0.0
0.097058,-0.0086167,0.12,-0.014215,0.016829,0.0
0.15408,-0.094967,0.12,-0.041888,0.05816,0.0
0.11402,-0.042808,0.12,-0.021393,0.036014,0.0
0.097058,-0.0086167,0.12,-0.014215,0.016829,0.0
0.088533,0.000825,0.12,-0.010581,0.014891,0.0
0.11402,-0.042808,0.12,-0.021393,0.036014,0.0
0.097058,-0.0086167,0.12,-0.014215,0.016829,0.0
0.088533,0.000825,0.12,-0.010581,0.014891,0.0
0.080833,0.01155,0.12,-0.0053264,0.0079173,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.077442,0.015033,0.12,0.0084707,-0.05059,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.09495,-0.085342,0.12,0.0030714,0.020154,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.09495,-0.085342,0.12,0.0030714,0.020154,0.0
0.10375,-0.071408,0.12,-0.0060995,0.020794,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.09495,-0.085342,0.12,0.0030714,0.020154,0.0
0.10375,-0.071408,0.12,-0.0060995,0.020794,0.0
0.099167,-0.055183,0.12,-0.0017016,0.011855,0.0
0.09495,-0.085342,0.12,0.0030714,0.020154,0.0
0.10375,-0.071408,0.12,-0.0060995,0.020794,0.0
0.099167,-0.055183,0.12,-0.0017016,0.011855,0.0
0.098067,-0.052892,0.12,-0.00069433,0.013207,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.096692,-0.040333,0.12,0.032761,-0.013478,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.15618,-0.070033,0.12,0.01031,0.02067,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.15618,-0.070033,0.12,0.01031,0.02067,0.0
0.16113,-0.055458,0.12,0.007794,0.017204,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.15618,-0.070033,0.12,0.01031,0.02067,0.0
0.16113,-0.055458,0.12,0.007794,0.017204,0.0
0.16636,-0.04785,0.12,0.0037861,0.01515,0.0
0.15618,-0.070033,0.12,0.01031,0.02067,0.0
0.16113,-0.055458,0.12,0.007794,0.017204,0.0
0.16636,-0.04785,0.12,0.0037861,0.01515,0.0
0.16755,-0.042625,0.12,0.003203,0.012702,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.17149,-0.027683,0.12,-0.044712,0.038201,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.17149,-0.027683,0.12,-0.044712,0.038201,0.0
0.1373,0.011,0.12,-0.032811,0.018349,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.17149,-0.027683,0.12,-0.044712,0.038201,0.0
0.1373,0.011,0.12,-0.032811,0.018349,0.0
0.10943,0.024658,0.12,-0.01609,0.014106,0.0
0.17149,-0.027683,0.12,-0.044712,0.038201,0.0
0.1373,0.011,0.12,-0.032811,0.018349,0.0
0.10943,0.024658,0.12,-0.01609,0.014106,0.0
0.094675,0.036117,0.12,-0.0069046,0.007356,0.0
0.1373,0.011,0.12,-0.032811,0.018349,0.0
0.10943,0.024658,0.12,-0.01609,0.014106,0.0
0.094675,0.036117,0.12,-0.0069046,0.007356,0.0
0.093117,0.038225,0.12,-0.0081327,0.0076016,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.087525,0.042808,0.12,0.047303,-0.027413,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.18222,-0.0086167,0.12,-0.011711,0.033109,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.18222,-0.0086167,0.12,-0.011711,0.033109,0.0
0.17543,0.023558,0.12,-0.013403,0.021875,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.18222,-0.0086167,0.12,-0.011711,0.033109,0.0
0.17543,0.023558,0.12,-0.013403,0.021875,0.0
0.15637,0.038867,0.12,0.0014255,0.017037,0.0
0.18222,-0.0086167,0.12,-0.011711,0.033109,0.0
0.17543,0.023558,0.12,-0.013403,0.021875,0.0
0.15637,0.038867,0.12,0.0014255,0.017037,0.0
0.15967,0.047208,0.12,-0.0039934,0.013931,0.0
0.17543,0.023558,0.12,-0.013403,0.021875,0.0
0.15637,0.038867,0.12,0.0014255,0.017037,0.0
0.15967,0.047208,0.12,-0.0039934,0.013931,0.0
0.15857,0.0517,0.12,-0.0039529,0.012057,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.15545,0.059583,0.12,-0.011048,0.015706,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.13831,0.083508,0.12,0.0021319,-0.098142,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.13831,0.083508,0.12,0.0021319,-0.098142,0.0
0.14308,-0.0084333,0.12,-3.911e-05,-0.055619,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.13831,0.083508,0.12,0.0021319,-0.098142,0.0
0.14308,-0.0084333,0.12,-3.911e-05,-0.055619,0.0
0.13868,-0.063525,0.12,0.0056587,-0.025237,0.0
0.13831,0.083508,0.12,0.0021319,-0.098142,0.0
0.14308,-0.0084333,0.12,-3.911e-05,-0.055619,0.0
0.13868,-0.063525,0.12,0.0056587,-0.025237,0.0
0.14399,-0.082775,0.12,0.00099094,-0.018342,0.0
0.14308,-0.0084333,0.12,-3.911e-05,-0.055619,0.0
0.13868,-0.063525,0.12,0.0056587,-0.025237,0.0
0.14399,-0.082775,0.12,0.00099094,-0.018342,0.0
0.14445,-0.10038,0.12,0.00085706,-0.0069191,0.0
0.13868,-0.063525,0.12,0.0056587,-0.025237,0.0
0.14399,-0.082775,0.12,0.00099094,-0.018342,0.0
0.14445,-0.10038,0.12,0.00085706,-0.0069191,0.0
0.14537,-0.10267,0.12,0.00010262,-0.0077161,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.14399,-0.11174,0.12,-0.019043,0.0030633,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.14399,-0.11174,0.12,-0.019043,0.0030633,0.0
0.12749,-0.10917,0.12,-0.012884,0.0028931,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.14399,-0.11174,0.12,-0.019043,0.0030633,0.0
0.12749,-0.10917,0.12,-0.012884,0.0028931,0.0
0.11796,-0.10642,0.12,-0.0085216,0.0013414,0.0
0.14399,-0.11174,0.12,-0.019043,0.0030633,0.0
0.12749,-0.10917,0.12,-0.012884,0.0028931,0.0
0.11796,-0.10642,0.12,-0.0085216,0.0013414,0.0
0.11768,-0.10624,0.12,-0.010832,0.0017572,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.10843,-0.10313,0.12,0.0018011,0.05407,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.11319,-0.0012833,0.12,0.011263,-0.050347,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.11319,-0.0012833,0.12,0.011263,-0.050347,0.0
0.12309,-0.045008,0.12,0.0054966,-0.035325,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.11319,-0.0012833,0.12,0.011263,-0.050347,0.0
0.12309,-0.045008,0.12,0.0054966,-0.035325,0.0
0.12823,-0.076542,0.12,0.0024303,-0.018144,0.0
0.11319,-0.0012833,0.12,0.011263,-0.050347,0.0
0.12309,-0.045008,0.12,0.0054966,-0.035325,0.0
0.12823,-0.076542,0.12,0.0024303,-0.018144,0.0
0.13318,-0.095975,0.12,-0.0014862,-0.0058862,0.0
0.12309,-0.045008,0.12,0.0054966,-0.035325,0.0
0.12823,-0.076542,0.12,0.0024303,-0.018144,0.0
0.13318,-0.095975,0.12,-0.0014862,-0.0058862,0.0
0.13327,-0.094875,0.12,-0.0010611,-0.010574,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.12942,-0.10285,0.12,0.022465,0.027156,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.17021,-0.042808,0.12,-0.030921,0.0080601,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.17021,-0.042808,0.12,-0.030921,0.0080601,0.0
0.14335,-0.033642,0.12,-0.01994,0.0026943,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.17021,-0.042808,0.12,-0.030921,0.0080601,0.0
0.14335,-0.033642,0.12,-0.01994,0.0026943,0.0
0.1296,-0.032633,0.12,-0.014128,0.0035864,0.0
0.17021,-0.042808,0.12,-0.030921,0.0080601,0.0
0.14335,-0.033642,0.12,-0.01994,0.0026943,0.0
0.1296,-0.032633,0.12,-0.014128,0.0035864,0.0
0.123,-0.029425,0.12,-0.011497,0.0013283,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.11503,-0.029975,0.12,0.0080392,-0.042036,0.0
0.0,0.0,0.0,0.0,0.0,0.0
