t0,t1,t2,t3,t4,t5 
-0.30536,1.5018,-1.3873,0.060087,0,0
-0.1555,1.4828,-1.3671,0.058877,0,0
-0.14136,1.4745,-1.3582,0.058254,0,0
-0.081871,1.4284,-1.3077,0.053806,0,0
-0.081871,1.4284,-1.3077,0.053806,0,0
-0.14197,1.5593,-1.4468,0.061966,0,0
-0.055268,1.9082,-1.7498,0.016138,0,0
0.064897,2.019,-1.8258,-0.018581,0,0
0.15167,2.0734,-1.8597,-0.03908,0,0
0.15167,2.0734,-1.8597,-0.03908,0,0
0.15167,2.0734,-1.8597,-0.03908,0,0
-0.076688,2.0424,-1.8407,-0.027137,0,0
-0.22562,1.9386,-1.7716,0.0075428,0,0
-0.26316,1.8974,-1.7418,0.019007,0,0
-0.26316,1.8974,-1.7418,0.019007,0,0
-0.32267,1.8548,-1.7097,0.029454,0,0
-0.19413,2.0877,-1.8683,-0.044873,0,0
0.33155,2.2078,-1.9339,-0.099299,0,0
0.45861,2.0893,-1.8692,-0.045506,0,0
0.50099,2.0321,-1.8343,-0.023335,0,0
0.53094,1.9744,-1.7964,-0.003485,0,0
-0.053181,1.8992,-1.7432,0.018517,0,0
-0.26528,1.9264,-1.7629,0.011081,0,0
-0.042271,2.1451,-1.901,-0.069555,0,0
0.06274,2.2326,-1.9461,-0.11188,0,0
0.15974,2.2908,-1.973,-0.1432,0,0
0.15974,2.2908,-1.973,-0.1432,0,0
-0.27824,2.1916,-1.9257,-0.091358,0,0
-0.46369,1.9625,-1.7883,0.00028571,0,0
-0.39046,2.0322,-1.8343,-0.023376,0,0
-0.37332,2.0417,-1.8403,-0.026884,0,0
-0.31325,2.0731,-1.8596,-0.038993,0,0
-0.31993,1.7695,-1.641,0.046028,0,0
-0.22253,1.4917,-1.3766,0.05948,0,0
-0.20764,1.4848,-1.3693,0.059018,0,0
-0.17519,1.4824,-1.3667,0.05885,0,0
-0.16206,1.4802,-1.3643,0.058687,0,0
0.06098,1.7784,-1.6484,0.044577,0,0
0.20501,1.9975,-1.8118,-0.011116,0,0
0.30394,2.0796,-1.8635,-0.041586,0,0
0.30394,2.0796,-1.8635,-0.041586,0,0
0.37271,2.1142,-1.8837,-0.05596,0,0
0.1246,1.7544,-1.6282,0.048372,0,0
0.12844,1.5874,-1.4748,0.061907,0,0
0.23986,1.5056,-1.3913,0.060294,0,0
0.27694,1.4905,-1.3753,0.059401,0,0
0.27694,1.4905,-1.3753,0.059401,0,0
0.30204,1.4919,-1.3768,0.059491,0,0
