t0,t1,t2,t3,t4,t5 ,x,y,z
-0.30536,1.5018,-1.3873,0.060087,0,0,0.18041887429986803,-0.05687144853224709,0.12
-0.1555,1.4828,-1.3671,0.058877,0,0,0.18874211499450352,-0.029588268115845955,0.12
-0.14136,1.4745,-1.3582,0.058254,0,0,0.18995155561543559,-0.027031848209180715,0.12
-0.081871,1.4284,-1.3077,0.053806,0,0,0.19572037447874988,-0.016059720846929297,0.12
-0.081871,1.4284,-1.3077,0.053806,0,0,0.19572037447874988,-0.016059720846929297,0.12
-0.14197,1.5593,-1.4468,0.061966,0,0,0.18160920170078243,-0.025957689725805873,0.12
-0.055268,1.9082,-1.7498,0.016138,0,0,0.14820558104621823,-0.00819937622701667,0.12
0.064897,2.019,-1.8258,-0.018581,0,0,0.13715646397340858,0.00891356006846422,0.12
0.15167,2.0734,-1.8597,-0.03908,0,0,0.1305795906179837,0.01995828041218407,0.12
0.15167,2.0734,-1.8597,-0.03908,0,0,0.1305795906179837,0.01995828041218407,0.12
0.15167,2.0734,-1.8597,-0.03908,0,0,0.1305795906179837,0.01995828041218407,0.12
-0.076688,2.0424,-1.8407,-0.027137,0,0,0.13474560768853347,-0.01035367595104048,0.12
-0.22562,1.9386,-1.7716,0.0075428,0,0,0.14172132934164977,-0.032529004910033306,0.12
-0.26316,1.8974,-1.7418,0.019007,0,0,0.14435970176756951,-0.03889166213511698,0.12
-0.26316,1.8974,-1.7418,0.019007,0,0,0.14435970176756951,-0.03889166213511698,0.12
-0.32267,1.8548,-1.7097,0.029454,0,0,0.14582958240578234,-0.04875888692704109,0.12
-0.19413,2.0877,-1.8683,-0.044873,0,0,0.1282419263725644,-0.025213135041229868,0.12
0.33155,2.2078,-1.9339,-0.099299,0,0,0.11250637366125411,0.03873117867726276,0.12
0.45861,2.0893,-1.8692,-0.045506,0,0,0.11704961184424008,0.0577895888481501,0.12
0.50099,2.0321,-1.8343,-0.023335,0,0,0.11942673130079243,0.06539672230599887,0.12
0.53094,1.9744,-1.7964,-0.003485,0,0,0.12232683021549043,0.07182791827376078,0.12
-0.053181,1.8992,-1.7432,0.018517,0,0,0.1491184955404893,-0.007937755358876251,0.12
-0.26528,1.9264,-1.7629,0.011081,0,0,0.14148977309358937,-0.03844039415996796,0.12
-0.042271,2.1451,-1.901,-0.069555,0,0,0.12497561880173004,-0.005285993160975082,0.12
0.06274,2.2326,-1.9461,-0.11188,0,0,0.1163497290096761,0.007309375165465796,0.12
0.15974,2.2908,-1.973,-0.1432,0,0,0.10952733335567912,0.017646244472605915,0.12
0.15974,2.2908,-1.973,-0.1432,0,0,0.10952733335567912,0.017646244472605915,0.12
-0.27824,2.1916,-1.9257,-0.091358,0,0,0.11592489582219347,-0.03311391840140054,0.12
-0.46369,1.9625,-1.7883,0.00028571,0,0,0.12793250417611837,-0.06397303121510198,0.12
-0.39046,2.0322,-1.8343,-0.023376,0,0,0.12590045066629138,-0.05181971162203578,0.12
-0.37332,2.0417,-1.8403,-0.026884,0,0,0.12589985397341372,-0.04931340585203027,0.12
-0.31325,2.0731,-1.8596,-0.038993,0,0,0.12569899315104668,-0.04071575590585321,0.12
-0.31993,1.7695,-1.641,0.046028,0,0,0.15408944455093007,-0.05105163886187061,0.12
-0.22253,1.4917,-1.3766,0.05948,0,0,0.18547974684022367,-0.041969883264223046,0.12
-0.20764,1.4848,-1.3693,0.059018,0,0,0.18675202122182183,-0.03934425587470016,0.12
-0.17519,1.4824,-1.3667,0.05885,0,0,0.18816248522877024,-0.03330561853828092,0.12
-0.16206,1.4802,-1.3643,0.058687,0,0,0.1887965963135028,-0.0308670759576495,0.12
0.06098,1.7784,-1.6484,0.044577,0,0,0.16113006771999508,0.009837908839725653,0.12
0.20501,1.9975,-1.8118,-0.011116,0,0,0.13664608469916822,0.028412991123316998,0.12
0.30394,2.0796,-1.8635,-0.041586,0,0,0.12546434166138895,0.03935296401684933,0.12
0.30394,2.0796,-1.8635,-0.041586,0,0,0.12546434166138895,0.03935296401684933,0.12
0.37271,2.1142,-1.8837,-0.05596,0,0,0.11930854759855324,0.04664774943678552,0.12
0.1246,1.7544,-1.6282,0.048372,0,0,0.16257433139022984,0.020362246630018496,0.12
0.12844,1.5874,-1.4748,0.061907,0,0,0.1791552182403649,0.023138071353597453,0.12
0.23986,1.5056,-1.3913,0.060294,0,0,0.1833887972088983,0.04485109072240138,0.12
0.27694,1.4905,-1.3753,0.059401,0,0,0.18303628846559805,0.052027004176558894,0.12
0.27694,1.4905,-1.3753,0.059401,0,0,0.18303628846559805,0.052027004176558894,0.12
0.30204,1.4919,-1.3768,0.059491,0,0,0.18154111394917652,0.05656328580708676,0.12
0.41698,1.5469,-1.4342,0.061788,0,0,0.16886660771070508,0.07480033257499047,0.12
-0.086218,1.754,-1.6279,0.048424,0,0,0.16327718317417855,-0.014112417944816345,0.12
-0.34825,1.6284,-1.5145,0.060675,0,0,0.16593067391609803,-0.06024056346685849,0.12
-0.4394,1.547,-1.4342,0.061788,0,0,0.16713603252951006,-0.07856191663479566,0.12
-0.51211,1.4953,-1.3805,0.059709,0,0,0.1654640876486507,-0.09301268739351301,0.12
-0.51211,1.4953,-1.3805,0.059709,0,0,0.1654640876486507,-0.09301268739351301,0.12
-0.51211,1.4953,-1.3805,0.059709,0,0,0.1654640876486507,-0.09301268739351301,0.12
-0.58915,1.6489,-1.5339,0.059543,0,0,0.14505408569549808,-0.09694331338849611,0.12
-0.60717,1.6929,-1.5743,0.055976,0,0,0.13964551592425745,-0.09701379922362535,0.12
-0.60717,1.6929,-1.5743,0.055976,0,0,0.13964551592425745,-0.09701379922362535,0.12
-0.62567,1.7541,-1.628,0.048414,0,0,0.1328332859589778,-0.09597253999217527,0.12
-0.38365,1.916,-1.7555,0.013987,0,0,0.13692245742107167,-0.055268915036760645,0.12
-0.29209,1.8021,-1.668,0.040374,0,0,0.1523143997104323,-0.04579946638868791,0.12
-0.44308,1.6797,-1.5623,0.057213,0,0,0.1548174263242741,-0.0734683985880672,0.12
-0.51445,1.6061,-1.493,0.061515,0,0,0.155626926494174,-0.08796277577962194,0.12
-0.51445,1.6061,-1.493,0.061515,0,0,0.155626926494174,-0.08796277577962194,0.12
-0.55727,1.5761,-1.4636,0.062008,0,0,0.15427239791643677,-0.09613530053300716,0.12
-0.41501,1.5315,-1.4184,0.061394,0,0,0.1704170214031924,-0.07508585270505524,0.12
-0.18779,1.7595,-1.6325,0.047607,0,0,0.16045898696264246,-0.030491871483540278,0.12
-0.19952,1.8861,-1.7335,0.021913,0,0,0.1476488079419433,-0.029856118642508644,0.12
-0.19928,1.9089,-1.7503,0.015947,0,0,0.14542598567708367,-0.029370313358733805,0.12
-0.19946,1.9529,-1.7816,0.0032595,0,0,0.1411312912626678,-0.028529395233097898,0.12
-0.41509,1.8044,-1.6698,0.039942,0,0,0.14533147337953922,-0.0640470276520444,0.12
-0.50253,1.6448,-1.5301,0.059796,0,0,0.1532594232385327,-0.08423017025761372,0.12
-0.54502,1.5531,-1.4405,0.061893,0,0,0.15740408131910258,-0.09543000862941776,0.12
-0.54502,1.5531,-1.4405,0.061893,0,0,0.15740408131910258,-0.09543000862941776,0.12
-0.54502,1.5531,-1.4405,0.061893,0,0,0.15740408131910258,-0.09543000862941776,0.12
-0.34332,1.5409,-1.428,0.061655,0,0,0.17447500260268345,-0.0623707507336081,0.12
-0.19916,1.5433,-1.4305,0.061713,0,0,0.181392056453009,-0.03661138678362398,0.12
-0.16876,1.5372,-1.4242,0.06156,0,0,0.18301887573729947,-0.03118285767026999,0.12
-0.12568,1.519,-1.4054,0.060931,0,0,0.18598794210825734,-0.02349881995563024,0.12
-0.12568,1.519,-1.4054,0.060931,0,0,0.18598794210825734,-0.02349881995563024,0.12
0.013492,1.6952,-1.5764,0.055744,0,0,0.16979058644281828,0.002290953604505198,0.12
-0.27432,1.8253,-1.6866,0.035829,0,0,0.15086130715313437,-0.04245457784753109,0.12
-0.47209,1.7366,-1.6129,0.050883,0,0,0.14751865297915182,-0.07532272573197536,0.12
-0.52676,1.6627,-1.5467,0.058596,0,0,0.14961479347587714,-0.0870119177170456,0.12
-0.55544,1.6527,-1.5375,0.059295,0,0,0.14791518035426524,-0.09179841228193258,0.12
-0.55544,1.6527,-1.5375,0.059295,0,0,0.14791518035426524,-0.09179841228193258,0.12
-0.4125,1.8732,-1.7238,0.025113,0,0,0.1391824963243563,-0.06090719355753419,0.12
-0.30742,2.0207,-1.827,-0.019208,0,0,0.1308459226961778,-0.04154163278794707,0.12
-0.24562,2.0753,-1.8609,-0.039867,0,0,0.1279529777123931,-0.03207544819460117,0.12
-0.24562,2.0753,-1.8609,-0.039867,0,0,0.1279529777123931,-0.03207544819460117,0.12
-0.18337,2.1068,-1.8795,-0.052815,0,0,0.12666921512215992,-0.02349122003782009,0.12
0.33773,2.1231,-1.8888,-0.059783,0,0,0.12004797783982604,0.042159034484161126,0.12
0.67978,1.7635,-1.636,0.046976,0,0,0.12671340244202067,0.1024221358569268,0.12
0.67978,1.7635,-1.636,0.046976,0,0,0.12671340244202067,0.1024221358569268,0.12
0.18365,1.606,-1.493,0.061516,0,0,0.1757717749733536,0.03264836171008516,0.12
0.15833,1.6364,-1.5221,0.060275,0,0,0.1735252953100713,0.027706164147817246,0.12
0.38792,1.7203,-1.5988,0.052957,0,0,0.15485109364910166,0.06327611163391673,0.12
0.48501,1.7201,-1.5986,0.052986,0,0,0.14800521609634681,0.07799807381713225,0.12
0.56085,1.7075,-1.5874,0.054441,0,0,0.14274337767126363,0.08966200769553027,0.12
0.57462,1.7015,-1.582,0.055098,0,0,0.14200134683537446,0.0919467299754342,0.12
0.57462,1.7015,-1.582,0.055098,0,0,0.14200134683537446,0.0919467299754342,0.12
0.33812,1.7011,-1.5817,0.055136,0,0,0.15963126899273092,0.056130031654797886,0.12
