x,y,z,t0,t1,t2,t3,xc_px,yc_px,xc,yc,diagonal
0.05,-0.24,0.12,1.7682889320206385,37.7118257390124,81.02561920862155,43.31379346960915,,,,,
0.06,-0.24,0.12,4.036243467926468,35.19606745133599,77.04502010815916,41.84895265682317,,,,,
0.07,-0.24,0.12,6.26020470831196,31.75358835954819,71.46922979463022,39.71564143508203,,,,,
0.1,-0.23,0.12,13.498565675952094,30.52869048164186,69.44917753517718,38.920487053535325,,,,,
0.12,-0.22,0.12,18.61045966596521,30.845047846496456,69.97272354175345,39.12767569525699,,,,,
0.14,-0.21,0.12,23.690067525979785,27.646414129903256,64.62042416427091,36.974010034367666,,,,,
0.15,-0.2,0.12,26.869897645844013,31.75358835954819,71.46922979463022,39.71564143508203,,,,,
0.16,-0.19,0.12,30.100907546212234,33.94815507832919,75.04100904341297,41.09285396508378,-275.0,145.0,4.95,2.61,73.38937252763509
0.17,-0.18,0.12,33.36342295838328,34.95263530875019,76.65563066803891,41.70299535928872,-264.0,160.0,4.752,2.88,72.80109889280519
0.18,-0.17,0.12,36.63657704161671,34.95263530875019,76.65563066803891,41.70299535928872,-249.0,178.0,4.482,3.204,72.78049189171504
0.19,-0.16,0.12,39.89909245378776,33.94815507832919,75.04100904341297,41.09285396508378,-235.0,191.0,4.23,3.438,72.83543093852057
0.2,-0.15,0.12,43.13010235415598,31.75358835954819,71.46922979463022,39.71564143508203,-222.0,208.0,3.996,3.744,75.23961722390672
0.22,-0.12,0.12,51.389540334034784,30.845047846496456,69.97272354175345,39.12767569525699,-183.0,236.0,3.294,4.248,73.17103251970687
0.23,-0.1,0.12,56.501434324047906,30.52869048164186,69.44917753517718,38.920487053535325,-140.0,259.0,2.52,4.662,74.52516353554684
0.24,-0.07,0.12,63.73979529168804,31.75358835954819,71.46922979463022,39.71564143508203,-97.0,275.0,1.746,4.95,74.94664769020693
0.24,-0.06,0.12,65.96375653207352,35.19606745133599,77.04502010815916,41.84895265682317,-86.0,272.0,1.548,4.896,73.7360156233031
0.24,-0.05,0.12,68.23171106797935,37.7118257390124,81.02561920862155,43.31379346960915,-68.0,273.0,1.224,4.914,73.40980860893181
0.24,-0.04,0.12,70.53767779197437,39.59941263885652,83.96012566100063,44.36071302214412,-54.0,273.0,0.972,4.914,74.68600939935136
0.24,-0.03,0.12,72.8749836510982,40.98889311067623,86.0916434521516,45.10275034147537,-40.0,272.0,0.72,4.896,74.30343195303969
0.24,-0.02,0.12,75.23635830927383,41.94703213784924,87.54730057491714,45.6002684370679,-17.0,273.0,0.306,4.914,73.78346698278686
0.24,-0.01,0.12,77.61405596961119,42.509901495046414,88.39704037083692,45.8871388757905,-6.0,273.0,0.108,4.914,74.88658090739622
0.24,0.0,0.12,80.0,42.69567001585551,88.6766085021249,45.98093848626939,11.0,272.0,-0.198,4.896,74.81310045707235
0.24,0.01,0.12,82.38594403038881,42.509901495046414,88.39704037083692,45.8871388757905,25.0,271.0,-0.45,4.878,75.92759709091287
0.24,0.02,0.12,84.76364169072617,41.94703213784924,87.54730057491714,45.6002684370679,35.0,270.0,-0.63,4.86,75.07329751649384
0.24,0.03,0.12,87.1250163489018,40.98889311067623,86.0916434521516,45.10275034147537,53.0,267.0,-0.954,4.806,75.66372975210778
0.24,0.04,0.12,89.46232220802563,39.59941263885652,83.96012566100063,44.36071302214412,65.0,267.0,-1.17,4.806,77.15568676384133
0.24,0.05,0.12,91.76828893202065,37.7118257390124,81.02561920862155,43.31379346960915,81.0,267.0,-1.458,4.806,73.7563556583431
0.24,0.06,0.12,94.03624346792648,35.19606745133599,77.04502010815916,41.84895265682317,99.0,265.0,-1.782,4.77,75.6042326857432
0.24,0.07,0.12,96.26020470831196,31.75358835954819,71.46922979463022,39.71564143508203,115.0,263.0,-2.07,4.734,72.42237223399962
0.23,0.1,0.12,103.4985656759521,30.52869048164186,69.44917753517718,38.920487053535325,158.0,246.0,-2.844,4.428,73.35529974037323
0.22,0.12,0.12,108.61045966596521,30.845047846496456,69.97272354175345,39.12767569525699,188.0,228.0,-3.384,4.104,74.09453421137081
0.21,0.14,0.12,113.6900675259798,27.646414129903256,64.62042416427091,36.974010034367666,215.0,210.0,-3.87,3.78,73.08214556237385
0.2,0.15,0.12,116.86989764584402,31.75358835954819,71.46922979463022,39.71564143508203,224.0,198.0,-4.032,3.564,72.27724399837061
0.19,0.16,0.12,120.10090754621224,33.94815507832919,75.04100904341297,41.09285396508378,240.0,178.0,-4.32,3.204,73.16419889536138
0.18,0.17,0.12,123.3634229583833,34.95263530875019,76.65563066803891,41.70299535928872,258.0,157.0,-4.644,2.826,72.44308110509934
0.17,0.18,0.12,126.63657704161672,34.95263530875019,76.65563066803891,41.70299535928872,270.0,140.0,-4.86,2.52,73.00684899377592
0.16,0.19,0.12,129.89909245378777,33.94815507832919,75.04100904341297,41.09285396508378,280.0,126.0,-5.04,2.268,73.02739212103907
0.15,0.2,0.12,133.13010235415598,31.75358835954819,71.46922979463022,39.71564143508203,,,,,
0.12,0.22,0.12,141.3895403340348,30.845047846496456,69.97272354175345,39.12767569525699,,,,,
0.1,0.23,0.12,146.50143432404792,30.52869048164186,69.44917753517718,38.920487053535325,,,,,
0.07,0.24,0.12,153.73979529168804,31.75358835954819,71.46922979463022,39.71564143508203,,,,,
0.06,0.24,0.12,155.96375653207355,35.19606745133599,77.04502010815916,41.84895265682317,,,,,
0.05,0.24,0.12,158.23171106797935,37.7118257390124,81.02561920862155,43.31379346960915,,,,,
0.08,0.23,0.12,150.82099197418927,39.3957511582537,83.64566045464798,44.249909296394286,,,,,
0.07,0.23,0.12,153.07248693585296,42.3232210621132,88.11566046688534,45.79243940477216,,,,,
0.06,0.23,0.12,155.37912601136833,44.684761357058214,91.64265138016734,46.957890023109115,,,,,
0.05,0.23,0.12,157.73522627210758,46.58988389273451,94.43631755781016,47.84643366507564,,,,,
0.08,0.22,0.12,150.01689347810003,47.600169874557004,95.89897449168244,48.298804617125434,,,,,
0.07,0.22,0.12,152.34987578006988,50.05405478864742,99.39694906527987,49.34289427663245,,,,,
0.06,0.22,0.12,154.74488129694222,52.114186924153806,102.27339679989036,50.15920987573656,,,,,
0.05,0.22,0.12,157.19573393471325,53.81998302307632,104.61314323018883,50.7931602071125,,,,,
0.07,0.21,0.12,151.56505117707798,56.7056852390155,108.4839492322603,51.77826399324479,,,,,
0.06,0.21,0.12,154.05460409907715,58.64768953603138,111.0265266284496,52.37883709241823,293.0,-44.0,-5.274,-0.792,79.92496481075234
0.05,0.21,0.12,156.60750224624888,60.27666668172127,113.12022495664802,52.84355827492675,288.0,-53.0,-5.184,-0.954,79.32212806020776
0.07,0.2,0.12,150.70995378081128,62.77770655973522,116.26487668937425,53.48717012963903,276.0,-13.0,-4.968,-0.234,78.26237921249263
0.06,0.2,0.12,153.30075576600638,64.68349480271478,118.60383497722978,53.920340174515005,,,,,
0.05,0.2,0.12,155.96375653207355,66.29564995849192,120.54347836915979,54.247828410667864,269.0,-50.0,-4.842,-0.9,79.61155694998057
0.07,0.19,0.12,149.77514056883192,68.4987990973867,123.13610137485075,54.63730227746405,257.0,-8.0,-4.626,-0.144,77.87810988975015
0.06,0.19,0.12,152.47443162627712,70.4174211158999,125.33897041744207,54.92154930154217,256.0,-31.0,-4.608,-0.558,78.77182237323191
0.05,0.19,0.12,155.25643716352926,72.05092299080442,127.17398351301179,55.12306052220736,251.0,-53.0,-4.518,-0.954,80.7093550959243
0.06,0.18,0.12,151.56505117707798,75.96397379623532,131.41753867131018,55.45356487507486,239.0,-25.0,-4.302,-0.45,78.71467461661771
0.05,0.18,0.12,154.47588900324575,77.64779647472515,133.17725543248264,55.529458957757484,233.0,-43.0,-4.194,-0.774,78.89233169326408
0.06,0.17,0.12,150.55996517182382,81.39694562718014,136.9516808202597,55.55473519307953,222.0,-25.0,-3.996,-0.45,79.60527620704548
0.05,0.17,0.12,153.6104596659652,83.15599205880758,138.6542090297266,55.498216970918975,216.0,-41.0,-3.888,-0.738,80.26207074328447
0.06,0.16,0.12,149.44395478041653,86.76615186515883,142.01181052023685,55.24565865507803,202.0,-22.0,-3.636,-0.396,76.48529270389177
0.05,0.16,0.12,152.64597536373867,88.62367714064925,143.66804214062938,55.044364999980125,200.0,-38.0,-3.6,-0.684,80.1311425102625
0.06,0.15,0.12,148.19859051364818,92.10497830575517,146.6422365812282,54.537258275473015,185.0,-22.0,-3.33,-0.396,76.48529270389177
