t0i,t1i,t2i,t3i,xi,yi,t00.30,t10.30,t20.30,t30.30,x0.30,y0.30,t00.50,t10.50,t20.50,t30.50,x0.50,y0.50,t00.75,t10.75,t20.75,t30.75,x0.75,y0.75,t00.82,t10.82,t20.82,t30.82,x0.82,y0.82,t00.90,t10.90,t20.90,t30.90,x0.90,y0.90,t00.95,t10.95,t20.95,t30.95,x0.95,y0.95,t0f,t1f,t2f,t3f,xf,yf
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,41.825326464475594,133.4443394120222,169.65385823967307,36.20951882765089,0.07250000000000001,-0.056999999999999995,35.74405920288871,106.91519927275979,157.43981345805213,50.52461418529233,0.0975,-0.095,32.09808953111635,74.62575497002224,129.99051176295083,55.36475679292859,0.12875,-0.14250000000000002,31.385864598955635,64.61158266518683,118.51648159692797,53.904898931741144,0.138125,-0.15675,30.780171377404606,53.67035788851573,104.40943925363368,50.73908136511794,0.14750000000000002,-0.171,30.424375485558393,45.178073829346644,92.37048234752828,47.19240851818163,0.15375,-0.1805,30.424375485558393,45.178073829346644,92.37048234752828,47.19240851818163,0.16,-0.19
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,44.426445080896855,133.08229870575093,169.54727672479885,36.46497801904791,0.07550000000000001,-0.054,38.71528910542877,106.75221358602317,157.33697558075286,50.584761994729696,0.10250000000000001,-0.09,35.26403398125911,74.76735670381181,130.1427031393725,55.375346435560665,0.13625,-0.135,34.58710835485333,64.86241538532673,118.82086575764009,53.958450372313365,0.146375,-0.1485,34.01068926403692,54.07144694544983,104.9548295364398,50.883382590989974,0.15650000000000003,-0.162,33.67176441506543,45.7476552383773,93.20698505621843,47.45932981784112,0.16325,-0.17099999999999999,33.67176441506543,45.7476552383773,93.20698505621843,47.45932981784112,0.17,-0.18
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,46.98896177213786,132.60593149598336,169.40444696532876,36.798515469345396,0.0785,-0.051000000000000004,41.666659890901364,106.37343069784147,157.0966298871445,50.72319918930303,0.1075,-0.085,38.42836855885496,74.56914674650133,129.92959118700207,55.36044444050075,0.14375,-0.1275,37.7909293991176,64.71433377437481,118.6412740439498,53.926940269575006,0.15462499999999998,-0.14025,37.24750350819137,53.97477019992297,104.82356482735084,50.848794627427864,0.1655,-0.15300000000000002,36.927701682346324,45.69017514199258,93.12275586825213,47.432580726259545,0.17275,-0.1615,36.927701682346324,45.69017514199258,93.12275586825213,47.432580726259545,0.18,-0.17
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,49.50374172003349,132.01775628094856,169.22404506400449,37.206288783055896,0.0815,-0.048,44.58294472353257,105.78243231288762,156.71785863543343,50.93542632254581,0.1125,-0.08,41.571922654315884,74.03227202416548,129.3495774585844,55.31730543441891,0.15125,-0.12,40.97739624012714,64.1673098846149,117.97523876394325,53.80792887932835,0.162875,-0.132,40.47004315187684,53.37894904212196,104.01186163232573,50.632912590203766,0.17450000000000002,-0.14400000000000002,40.1712447521969,45.003363134810385,92.11306916234724,47.10970602753686,0.18225,-0.152,40.1712447521969,45.003363134810385,92.11306916234724,47.10970602753686,0.19,-0.16
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,51.962717839755456,131.32082558919532,169.00451839052977,37.68369280133442,0.0845,-0.045,47.4499965078066,104.98468116301717,156.19927322268296,51.21459205966578,0.11750000000000001,-0.075,44.67627109977226,73.15965754256428,128.3982040809891,55.23854653842482,0.15875,-0.11249999999999999,44.127216880343596,63.22097223402226,116.81332876489265,53.59235653087038,0.171125,-0.12374999999999999,43.65827500007926,52.27484315321611,102.4953865547892,50.2205434015731,0.18350000000000002,-0.135,43.381923957812,43.65808267580836,90.1179783116019,46.45989563579355,0.19175,-0.1425,43.381923957812,43.65808267580836,90.1179783116019,46.45989563579355,0.2,-0.15
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,58.30782923641104,130.31267164333053,168.67594115505813,38.36326951172758,0.0905,-0.036,54.798876354524936,104.0916212821831,155.60874154847707,51.517120266293965,0.1275,-0.06,52.616493361233395,72.51471817400137,127.68818494083364,55.17346676683226,0.17375,-0.09,52.18170916341652,62.62487651820605,116.07515843995306,53.45028192174701,0.187625,-0.09899999999999999,51.809575179486245,51.69650535578732,101.69467938645293,49.998174030665616,0.2015,-0.108,51.58992445661934,43.04332647353021,89.19863352586603,46.15530705233582,0.21075,-0.11399999999999999,51.58992445661934,43.04332647353021,89.19863352586603,46.15530705233582,0.22,-0.12
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,62.21086997105249,129.82834447689714,168.5134748475207,38.685130370623554,0.0935,-0.03,59.32557523912611,103.67531739209053,155.3298456235505,51.65452823146,0.1325,-0.05,57.52056560289688,72.23492535951762,127.37834441279922,55.1434190532816,0.18125,-0.07500000000000001,57.15980763370892,62.37660051547276,115.7662776341165,53.389677118643746,0.195875,-0.0825,56.85070323344959,51.46974466718346,101.37953819605633,49.90979352887286,0.21050000000000002,-0.09000000000000001,56.66810902182041,42.815825568533526,88.85720148162406,46.04137591309054,0.22025,-0.095,56.66810902182041,42.815825568533526,88.85720148162406,46.04137591309054,0.23,-0.1
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,67.72290194889197,129.48592338006563,168.39680881475516,38.91088543468952,0.0965,-0.021,65.71890426402918,103.5198448088122,155.22509826395532,51.705253455143115,0.1375,-0.035,64.45632077329856,72.37477660281756,127.53335183350653,55.158575230688975,0.18875,-0.052500000000000005,64.20300238678297,62.62790365571534,116.07891932317837,53.45101566746302,0.20412499999999997,-0.05775,63.98567687877867,51.88029973577701,101.94961580049244,50.06931606471543,0.2195,-0.06300000000000001,63.85717505874367,43.41675011530813,89.75764533370254,46.34089521839441,0.22974999999999998,-0.0665,63.85717505874367,43.41675011530813,89.75764533370254,46.34089521839441,0.24,-0.07
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,69.43412672886849,129.8469055062051,168.51975614936973,38.67285064316462,0.0965,-0.018,67.69198418257207,104.19608930478731,155.6783667858585,51.4822774810712,0.1375,-0.03,66.59040413290593,73.46883912973702,128.73651464269395,55.26767551295694,0.18875,-0.045,66.3689884003977,63.92549613488846,117.67950724326467,53.754011108376204,0.20412499999999997,-0.049499999999999995,66.17892207456642,53.51781873706933,104.20146487268116,50.68364613561184,0.2195,-0.054,66.06648963319623,45.50083579947069,92.84500705588917,47.34417125641848,0.22974999999999998,-0.056999999999999995,66.06648963319623,45.50083579947069,92.84500705588917,47.34417125641848,0.24,-0.06
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,71.16462678655051,130.15393440197846,168.6230224348771,38.46908803289861,0.0965,-0.015,69.69515353123397,104.77350562595568,156.06058840113258,51.28708277517689,0.1375,-0.025,68.76305574065523,74.39943207782377,129.7466777065627,55.347245628738925,0.18875,-0.037500000000000006,68.57540867353812,65.02258647682119,119.01478012175947,53.99219364493828,0.20412499999999997,-0.04125,68.41424752331949,54.88299178414506,106.05185891431245,51.16886713016738,0.2195,-0.045000000000000005,68.31887749134033,47.196055054635835,95.3154811298337,48.11942607519788,0.22974999999999998,-0.0475,68.31887749134033,47.196055054635835,95.3154811298337,48.11942607519788,0.24,-0.05
